data,reparto_id,shift_code,coverage_code
2024-10-25,REP0,M,S
2024-10-25,REP0,N,S
2024-10-25,REP0,P,S
2024-10-25,REP2,M,S
2024-10-25,REP2,N,S
2024-10-25,REP2,P,S
2024-10-25,REP3,M,S
2024-10-25,REP3,N,S
2024-10-25,REP3,P,S
2024-10-25,REP5,M,S
2024-10-25,REP5,N,S
2024-10-25,REP5,P,S
2024-10-25,RIA,G,S
2024-10-25,RIA2,G,S
2024-10-26,ADT,G,s
2024-10-26,MED,G,S
2024-10-26,MEDG,N,S
2024-10-26,REP0,G,S
2024-10-26,REP0,M,S
2024-10-26,REP0,N,S
2024-10-26,REP0,P,S
2024-10-26,REP2,M,S
2024-10-26,REP2,N,S
2024-10-26,REP2,P,S
2024-10-26,REP3,M,S
2024-10-26,REP3,N,S
2024-10-26,REP3,P,S
2024-10-26,REP5,M,S
2024-10-26,REP5,N,S
2024-10-26,REP5,P,S
2024-10-26,RIA,G,S
2024-10-26,RIA2,G,S
2024-10-27,ADT,G,d
2024-10-27,MED,G,S
2024-10-27,MEDG,N,S
2024-10-27,REP0,G,S
2024-10-27,REP0,M,S
2024-10-27,REP0,N,S
2024-10-27,REP0,P,S
2024-10-27,REP2,M,S
2024-10-27,REP2,N,S
2024-10-27,REP2,P,S
2024-10-27,REP3,M,S
2024-10-27,REP3,N,S
2024-10-27,REP3,P,S
2024-10-27,REP5,M,S
2024-10-27,REP5,N,S
2024-10-27,REP5,P,S
2024-10-27,RIA,G,S
2024-10-27,RIA2,G,S
2024-10-28,ADT,G,p
2024-10-28,MED,G,S
2024-10-28,MEDG,N,S
2024-10-28,REP0,G,S
2024-10-28,REP0,M,S
2024-10-28,REP0,N,S
2024-10-28,REP0,P,S
2024-10-28,REP2,M,S
2024-10-28,REP2,N,S
2024-10-28,REP2,P,S
2024-10-28,REP3,M,S
2024-10-28,REP3,N,S
2024-10-28,REP3,P,S
2024-10-28,REP5,M,S
2024-10-28,REP5,N,S
2024-10-28,REP5,P,S
2024-10-28,RIA,G,S
2024-10-28,RIA2,G,S
2024-10-29,ADT,G,p
2024-10-29,MED,G,S
2024-10-29,MEDG,N,S
2024-10-29,REP0,G,S
2024-10-29,REP0,M,S
2024-10-29,REP0,N,S
2024-10-29,REP0,P,S
2024-10-29,REP2,M,S
2024-10-29,REP2,N,S
2024-10-29,REP2,P,S
2024-10-29,REP3,M,S
2024-10-29,REP3,N,S
2024-10-29,REP3,P,S
2024-10-29,REP5,M,S
2024-10-29,REP5,N,S
2024-10-29,REP5,P,S
2024-10-29,RIA,G,S
2024-10-29,RIA2,G,S
2024-10-30,ADT,G,p
2024-10-30,MED,G,S
2024-10-30,MEDG,N,S
2024-10-30,REP0,G,S
2024-10-30,REP0,M,S
2024-10-30,REP0,N,S
2024-10-30,REP0,P,S
2024-10-30,REP2,M,S
2024-10-30,REP2,N,S
2024-10-30,REP2,P,S
2024-10-30,REP3,M,S
2024-10-30,REP3,N,S
2024-10-30,REP3,P,S
2024-10-30,REP5,M,S
2024-10-30,REP5,N,S
2024-10-30,REP5,P,S
2024-10-30,RIA,G,S
2024-10-30,RIA2,G,S
2024-10-31,ADT,G,p
2024-10-31,MED,G,S
2024-10-31,MEDG,N,S
2024-10-31,REP0,G,S
2024-10-31,REP0,M,S
2024-10-31,REP0,N,S
2024-10-31,REP0,P,S
2024-10-31,REP2,M,S
2024-10-31,REP2,N,S
2024-10-31,REP2,P,S
2024-10-31,REP3,M,S
2024-10-31,REP3,N,S
2024-10-31,REP3,P,S
2024-10-31,REP5,M,S
2024-10-31,REP5,N,S
2024-10-31,REP5,P,S
2024-10-31,RIA,G,S
2024-10-31,RIA2,G,S
